status,DAF_bin,prop_syn,prop_mis,prop_lof,num_snps
AncRef,"[0,0.0038)",0.30022949814438754,0.6599296753031004,0.03984082655251197,779527
DerRef,"[0,0.0038)",0.3924050632911392,0.6075949367088608,0.0,79
AncRef,"[0.0038,0.0076)",0.4208103130755064,0.5681399631675875,0.011049723756906077,1086
DerRef,"[0.0038,0.0076)",0.5263157894736842,0.47368421052631576,0.0,19
AncRef,"[0.0076,0.015)",0.41318977119784656,0.5787348586810229,0.008075370121130552,743
DerRef,"[0.0076,0.015)",0.1111111111111111,0.8888888888888888,0.0,9
AncRef,"[0.015,0.031)",0.42024539877300615,0.5736196319018405,0.006134969325153374,652
DerRef,"[0.015,0.031)",0.35294117647058826,0.6470588235294118,0.0,17
AncRef,"[0.031,0.061)",0.4225092250922509,0.5608856088560885,0.016605166051660517,542
DerRef,"[0.031,0.061)",0.5652173913043478,0.43478260869565216,0.0,23
AncRef,"[0.061,0.12)",0.49567099567099565,0.4935064935064935,0.010822510822510822,462
DerRef,"[0.061,0.12)",0.6078431372549019,0.39215686274509803,0.0,51
AncRef,"[0.12,0.18)",0.4852459016393443,0.4918032786885246,0.022950819672131147,305
DerRef,"[0.12,0.18)",0.45652173913043476,0.5434782608695652,0.0,46
AncRef,"[0.18,0.31)",0.5150753768844221,0.4798994974874372,0.005025125628140704,398
DerRef,"[0.18,0.31)",0.4690265486725664,0.5309734513274337,0.0,113
AncRef,"[0.31,0.46)",0.5185185185185185,0.48148148148148145,0.0,270
DerRef,"[0.31,0.46)",0.5304347826086957,0.46956521739130436,0.0,115
AncRef,"[0.46,0.61)",0.5422535211267606,0.44366197183098594,0.014084507042253521,142
DerRef,"[0.46,0.61)",0.5,0.5,0.0,102
AncRef,"[0.61,0.78)",0.5655737704918032,0.4262295081967213,0.00819672131147541,122
DerRef,"[0.61,0.78)",0.5942028985507246,0.4057971014492754,0.0,138
AncRef,"[0.78,0.84)",0.4857142857142857,0.5142857142857142,0.0,35
DerRef,"[0.78,0.84)",0.6666666666666666,0.3333333333333333,0.0,48
AncRef,"[0.84,0.92)",0.5185185185185185,0.48148148148148145,0.0,27
DerRef,"[0.84,0.92)",0.5,0.5,0.0,80
AncRef,"[0.92,1]",0.717948717948718,0.2564102564102564,0.02564102564102564,39
DerRef,"[0.92,1]",0.5703485930281395,0.4279714405711886,0.0016799664006719867,2381
