sigma,rho,s,w,mu,logl
21.367347,1.224573,0.01,multi,1.25e-08,-94.66663925718373
21.367347,1.224573,0.01193776641714437,multi,1.25e-08,-100.18005056470597
21.367347,1.224573,0.008376776400682925,multi,1.25e-08,-148.1717225407859
21.367347,1.224573,0.014251026703029992,multi,1.25e-08,-159.79062580581535
21.367347,1.224573,0.00701703828670383,multi,1.25e-08,-266.8970217840812
21.367347,1.224573,0.017012542798525893,multi,1.25e-08,-269.7032293019231
21.367347,1.224573,0.020309176209047368,multi,1.25e-08,-427.1076481502272
21.367347,1.224573,0.0058780160722749115,multi,1.25e-08,-458.49559213933276
21.367347,1.224573,0.024244620170823284,multi,1.25e-08,-630.0467298306469
21.367347,1.224573,0.004923882631706742,multi,1.25e-08,-732.2635595854799
21.367347,1.224573,0.028942661247167517,multi,1.25e-08,-877.2908247954006
21.367347,1.224573,0.004124626382901352,multi,1.25e-08,-1099.3568022483455
21.367347,1.224573,0.03455107294592222,multi,1.25e-08,-1168.2159987435166
21.367347,1.224573,0.04124626382901352,multi,1.25e-08,-1502.6842976575147
21.367347,1.224573,0.003455107294592218,multi,1.25e-08,-1573.0366512159721
21.367347,1.224573,0.04923882631706741,multi,1.25e-08,-1880.925466260199
21.367347,1.224573,0.0028942661247167516,multi,1.25e-08,-2168.9483527880757
21.367347,1.224573,0.05878016072274912,multi,1.25e-08,-2303.4208702414844
21.367347,1.224573,0.07017038286703829,multi,1.25e-08,-2770.7917326895003
21.367347,1.224573,0.0024244620170823282,multi,1.25e-08,-2905.435338475457
21.367347,1.224573,0.08376776400682924,multi,1.25e-08,-3283.6948444543914
21.367347,1.224573,0.002030917620904735,multi,1.25e-08,-3803.891146480588
21.367347,1.224573,0.1,multi,1.25e-08,-3842.7293605712666
21.367347,1.224573,0.0017012542798525892,multi,1.25e-08,-4889.148921028665
21.367347,1.224573,0.0014251026703029992,multi,1.25e-08,-6189.90548526336
21.367347,1.224573,0.001193776641714437,multi,1.25e-08,-7739.172618045199
21.367347,1.224573,0.001,multi,1.25e-08,-9574.741782431487
21.367347,1.224573,0.0008376776400682924,multi,1.25e-08,-11739.63936529401
21.367347,1.224573,0.000701703828670383,multi,1.25e-08,-14282.536447412785
21.367347,1.224573,0.0005878016072274912,multi,1.25e-08,-17258.058875045084
21.367347,1.224573,0.0004923882631706741,multi,1.25e-08,-20726.918237938473
21.367347,1.224573,0.0004124626382901352,multi,1.25e-08,-24755.7502049184
21.367347,1.224573,0.0003455107294592218,multi,1.25e-08,-29416.501170068907
21.367347,1.224573,0.0002894266124716752,multi,1.25e-08,-34785.14491677393
21.367347,1.224573,0.00024244620170823283,multi,1.25e-08,-40939.436108918715
21.367347,1.224573,0.0002030917620904735,multi,1.25e-08,-47955.316542108994
21.367347,1.224573,0.00017012542798525892,multi,1.25e-08,-55901.48644545286
21.367347,1.224573,0.00014251026703029977,multi,1.25e-08,-64831.5468002383
21.367347,1.224573,0.00011937766417144369,multi,1.25e-08,-74773.03191113
21.367347,1.224573,0.0001,multi,1.25e-08,-85712.6267036291
