seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
4	3140363	20337673	1854341	0.0018529128178327334	0.0012960950740086958	0.019182252283073045	0.010365768938672696	0.053374216183075744
2	3144297	20333758	1858827	0.00185296578696013	0.0012962775837984544	0.019186306438294207	0.010350357597439375	0.05334380184958632
5	3144876	20332666	1857532	0.0018529994864960725	0.001296195156610335	0.01918372465081487	0.010349279697987506	0.05333545814517724
10	3143818	20335044	1857386	0.0018529520471251527	0.0012962117862002735	0.019184775152266395	0.010354499432481451	0.053351065696976105
9	3139772	20338023	1852462	0.001853233057564278	0.0012964607334760765	0.01918758437793803	0.010368371831506384	0.05338824871346452
8	3139703	20338355	1854340	0.0018530897192717477	0.0012962169905406274	0.01918311633750342	0.010367364467406916	0.05337807113513887
7	3143417	20333998	1856287	0.0018530679143620719	0.0012962709239616016	0.01918480253930842	0.010355838293225434	0.053353212095651206
6	3134307	20341671	1846808	0.0018530562958147746	0.0012963239171093685	0.019186331423800464	0.010387393245120214	0.05343464429184824
3	3138926	20338995	1852689	0.001853005167015383	0.0012962802228050755	0.01918586190092448	0.010369424762534087	0.053389728234056424
1	3142603	20335439	1855821	0.0018528234885290776	0.0012960501157105735	0.019182247666621407	0.010354332297856214	0.0533468119818014
