w,u2_GQ,u3_GQ
0.01,0.48975615931982097,0.12571166813664753
0.010974987654930561,0.48235297234155255,0.12198573740796576
0.012045035402587823,0.4749498263189358,0.1183250653504568
0.013219411484660288,0.4675468209432909,0.11472097468196006
0.014508287784959394,0.460143845123951,0.11118098268643951
0.015922827933410922,0.4527409487660052,0.10770877217538886
0.01747528400007684,0.4453381214298439,0.10429226797432949
0.019179102616724886,0.4379354492936189,0.10094499472680495
0.02104904144512021,0.43053288065002565,0.09765329499411904
0.023101297000831605,0.4231304965701341,0.09441891042366926
0.025353644939701114,0.4157282422447028,0.09123726093003917
0.027825594022071243,0.40832622411392494,0.08810961497347665
0.030538555088334154,0.40092445810677446,0.08503311985578327
0.033516026509388425,0.39352298870854546,0.08200891617366653
0.03678379771828634,0.3861218670640604,0.07903714400944858
0.040370172585965536,0.3787211578652362,0.07611899783117838
0.044306214575838825,0.3713209333158868,0.07325614858103276
0.04862601580065353,0.3639212798579865,0.07044866124301831
0.0533669923120631,0.3565222995831195,0.06769726967725635
0.05857020818056667,0.3491241126136038,0.06500183048494022
0.06428073117284322,0.3417268589482709,0.06236237210314748
0.07054802310718646,0.33433070204815396,0.05977919632760587
0.0774263682681127,0.32693583374816304,0.057247965344690205
0.08497534359086446,0.31954247842207206,0.05477282189706601
0.093260334688322,0.3121508983638912,0.05235278335958117
0.10235310218990264,0.3047614005915244,0.049987250078792844
0.11233240329780277,0.2973743427461334,0.04767733340773596
0.12328467394420665,0.28999014200826545,0.04542318171505293
0.13530477745798075,0.2826092845046715,0.04322450431116536
0.1484968262254465,0.2752323351390025,0.04108119927905593
0.16297508346206444,0.26785995059783324,0.03899359023475237
0.1788649529057435,0.26049289060485636,0.03696108373216263
0.19630406500402714,0.2531320443570395,0.03498433026610311
0.21544346900318845,0.24577842734666985,0.033063341201701485
0.23644894126454083,0.23843322195641578,0.031198255562451954
0.25950242113997374,0.23109778964266978,0.02938934382345901
0.2848035868435802,0.2237736981169569,0.027636573584252307
0.3125715849688237,0.2164627486880633,0.025940034485238357
0.34304692863149194,0.2091670074307782,0.024299940083919534
0.37649358067924693,0.20188883858014384,0.02271631828159357
0.41320124001153385,0.19463094121260374,0.021189416531563067
0.4534878508128584,0.1873963888843918,0.01971936324367013
0.49770235643321115,0.18018867185281742,0.018306293828712114
0.5462277217684343,0.17301174158525182,0.016950334449198915
0.5994842503189411,0.16587005880308264,0.015651602015894876
0.6579332246575682,0.15876863823372533,0.014410180314038795
0.7220809018385468,0.15171309946593167,0.013226131931139922
0.7924828983539177,0.1447097121125911,0.012099485872096671
0.8697490026177834,0.13776543989913853,0.011030207658662862
0.9545484566618342,0.13088797949696931,0.010018208229920752
1.0476157527896652,0.12408579196133279,0.009063306108843693
1.149756995397737,0.11736812382641051,0.00816523332691656
1.261856883066021,0.1107450145859144,0.0073236091346907724
1.384886371393873,0.1042272868795914,0.0065379211524669205
1.5199110829529348,0.09782651548930231,0.005807508481237205
1.6681005372000592,0.09155497110796917,0.00513154061710584
1.8307382802953698,0.08542553501172863,0.004509003550306608
2.0092330025650478,0.07945158113443891,0.003938681628660694
2.2051307399030455,0.07364682277885584,0.0034191462092372444
2.4201282647943834,0.06802512243824915,0.0029487435058885435
2.656087782946687,0.06260026477139467,0.0025255937767032287
2.9150530628251787,0.057385694878449425,0.002147592089360662
3.1992671377973845,0.0523942265436215,0.001812417821629848
3.5111917342151346,0.04763772789765796,0.0015175511443889296
3.8535285937105312,0.04312679492728205,0.0012602981538477654
4.229242874389499,0.038870426066730086,0.0010378237902378103
4.641588833612782,0.03487571346011925,0.0008471912299913407
5.09413801481638,0.031147568088899177,0.0006854074067442749
5.590810182512229,0.027688496299370938,0.00054947203677606
6.135907273413176,0.02449844427795449,0.00043642835662564383
6.7341506577508286,0.021574724228141988,0.0003434124618447611
7.390722033525782,0.018912031749815098,0.00026769900627457145
8.111308307896872,0.01650255818418553,0.00020674063799660657
8.902150854450392,0.014336195102747142,0.00015819910839599398
9.770099572992256,0.012400821308583576,0.00011996753206403396
10.722672220103243,0.010682656490469148,9.01815869983898e-05
11.768119524349991,0.00916666080072307,6.722124833429196e-05
12.91549665014884,0.00783695674380802,4.970499440246027e-05
14.174741629268063,0.006677249216034061,3.647448120313911e-05
15.556761439304722,0.005671221330930657,2.6575691348874574e-05
17.07352647470692,0.004802887471731448,1.923586783945449e-05
18.73817422860385,0.004056890180288935,1.3838926578087991e-05
20.565123083486537,0.0034187333168467604,9.901366330785116e-06
22.570197196339215,0.0028749495677156175,7.048922862289591e-06
24.770763559917114,0.0024132052665248394,4.995930143411796e-06
27.185882427329428,0.002022349180568945,3.5265083335983747e-06
29.836472402833405,0.0016924142440581133,2.481201548302479e-06
32.745491628777316,0.001414582248456831,1.7402385140032448e-06
35.938136638046295,0.0011811214412172928,1.2173178620317876e-06
39.4420605943766,0.0009853061359745877,8.496142850140721e-07
43.287612810830616,0.0008213261086688477,5.918052980647467e-07
47.50810162102798,0.0006841920242195039,4.10461200469596e-07
52.140082879996896,0.0005696415985005898,2.8484697627959896e-07
57.223676593502205,0.00047404982501856647,1.978277394255069e-07
62.802914418342596,0.0003943454044160878,1.3774329434267618e-07
68.92612104349702,0.0003279345899802573,9.600560416230956e-08
75.64633275546291,0.00027263294931917777,6.671103960013652e-08
83.02175681319753,0.00022660504847672446,4.621637185036174e-08
91.11627561154896,0.0001883117140816748,3.196807827187373e-08
100.0,0.00015646434600398364,2.1660982494648198e-08
